City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Tuatapere,NZ,55.0,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
205,Meulaboh,ID,76.33,moderate rain,4.14,96.13,Kost Pria
206,Colares,PT,63.0,clear sky,38.8,-9.45,Arribas Sintra Hotel
207,Geraldton,AU,68.0,broken clouds,-28.77,114.6,Broadwater Mariner Resort
208,Lompoc,US,75.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
209,Souillac,MU,68.0,light rain,-20.52,57.52,Bils' Villa
210,Carnarvon,AU,69.8,overcast clouds,-24.87,113.63,Hospitality Carnarvon
212,Taunsa,PK,66.18,clear sky,30.7,70.65,Khosa House Mehmodia Bazar Taunsa
214,Victoria,HK,75.99,broken clouds,22.29,114.16,Mini Hotel Central
215,Cidreira,BR,63.7,overcast clouds,-30.18,-50.21,Hotel Castelo
220,North Myrtle Beach,US,79.0,broken clouds,33.82,-78.68,Avista Resort
221,Plouzane,FR,59.0,overcast clouds,48.38,-4.62,Résidence Nemea Iroise Armorique
222,Sao Filipe,CV,81.1,clear sky,14.9,-24.5,Tortuga B&B
227,Camacha,PT,69.8,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
228,Charters Towers,AU,67.46,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
229,Asau,RO,50.0,clear sky,46.43,26.4,Casa Mika Ciobanus
230,Chirongui,YT,78.8,clear sky,-12.93,45.15,La Villa Mahatsara
231,Ascension,US,66.2,clear sky,30.22,-90.9,Highland Inn
232,Puyang,CN,55.17,clear sky,29.46,119.89,Xianhua Sandalwood Celebrity Hotel
234,Baghdad,IQ,66.2,clear sky,33.34,44.4,Baghdad Hotel
235,Adrar,MR,86.13,scattered clouds,20.5,-10.07,
236,Pitimbu,BR,82.4,few clouds,-7.47,-34.81,Reserva do Abiaí
237,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
238,Cuamba,MZ,77.94,few clouds,-14.8,36.54,Hotel Vision
239,Kaitangata,NZ,55.0,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
240,Progreso,MX,80.01,light rain,21.28,-89.67,Playa Linda Hotel
241,Mahebourg,MU,68.0,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
242,Orangeburg,US,81.0,few clouds,33.49,-80.86,Palmetto Inn & Suites
244,Kuantan,MY,75.2,moderate rain,3.81,103.33,Hotel Sentral Kuantan
245,San Vicente,AR,74.3,overcast clouds,-26.62,-54.13,Complejo Turístico Farelluk
248,Pekan,MY,75.2,light rain,3.48,103.4,Pekan Budget Hotel
249,Yanam,IN,75.25,overcast clouds,16.73,82.22,The Regency Hotel
250,Union,US,51.01,light rain,40.63,-74.27,Homewood Suites by Hilton Newark-Cranford
251,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
253,Buta,CD,71.02,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
254,Dengzhou,CN,52.63,clear sky,37.81,120.75,Greentree Inn Penglai Free Harbor Business Hotel
255,Monastyryshche,UA,53.37,overcast clouds,48.99,29.8,Monblan
257,Khandbari,NP,64.27,clear sky,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
258,Minggang,CN,57.27,clear sky,32.46,114.05,Yindu Hotel
259,Healesville,AU,55.99,overcast clouds,-37.65,145.52,Rivendell on Cornelius
260,Ponta Delgada,PT,69.8,scattered clouds,37.73,-25.67,Vila Nova Hotel
261,Cabo San Lucas,MX,82.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
263,Beidao,CN,51.8,broken clouds,34.57,105.89,Shell Tianshui Maiji District Erma Road Walking Street Hotel
265,Arraial Do Cabo,BR,78.8,mist,-22.97,-42.03,Pousada Porto Praia
266,Kudat,MY,77.0,scattered clouds,6.88,116.85,Dream Garden Hotel
267,Manado,ID,77.81,clear sky,1.49,124.85,Aryaduta Hotel
269,Araouane,ML,88.63,broken clouds,18.9,-3.53,
271,Tolosa,FR,55.4,clear sky,43.6,1.44,Novotel Toulouse Centre Wilson
272,Fallon,US,62.01,clear sky,39.47,-118.78,Best Western Fallon Inn & Suites
273,Mihijam,IN,72.43,clear sky,23.85,86.88,Utsav Lodge & Marriage Hall
274,Montefiascone,IT,57.0,overcast clouds,42.54,12.04,Hotel Urbano V
275,Erzin,TR,73.99,clear sky,36.96,36.2,Artemis Otel
276,Les Cayes,HT,84.16,clear sky,18.2,-73.75,Villa Orphee
277,Teluknaga,ID,82.0,haze,-6.1,106.64,Bale Ocasa hotel
278,Broken Hill,AU,50.0,clear sky,-31.95,141.43,Daydream Motel & Cottages
282,Harper,LR,77.52,overcast clouds,4.38,-7.72,Screensaver
283,Gambela,ET,71.6,moderate rain,8.25,34.58,Solomon Debebe Hotel
284,Mao,ES,60.8,clear sky,39.89,4.27,ARTIEM Capri
285,Yeppoon,AU,73.4,overcast clouds,-23.13,150.73,Villa Mar Colina
286,Romans-Sur-Isere,FR,51.01,scattered clouds,45.05,5.06,le clos des tanneurs
287,Pacific Grove,US,66.0,clear sky,36.62,-121.92,Lovers Point Inn
288,Fortuna Foothills,US,80.6,clear sky,32.66,-114.41,Fortuna De Oro RV Park
289,Anloga,GH,82.4,thunderstorm,5.79,0.9,Pin Drop Hotel
292,Jalapa,MX,65.57,light rain,19.53,-96.92,Hotel Mision Xalapa Plaza de las Convenciones
293,Lata,PT,61.0,clear sky,40.16,-8.33,Casa Maquia
294,Maceio,BR,84.2,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
295,Shingu,JP,50.86,scattered clouds,33.73,135.98,Shingu UI Hotel
297,Elizabeth City,US,82.0,overcast clouds,36.29,-76.25,Hampton Inn Elizabeth City
300,Pisco,PE,68.0,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
301,Hasaki,JP,54.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
302,Taoudenni,ML,83.16,clear sky,22.68,-3.98,
303,Naze,JP,75.2,overcast clouds,28.37,129.48,奄美ポートタワーホテル
305,Biak,ID,77.58,scattered clouds,-0.91,122.88,Kost Ariz
306,Chicama,PE,66.2,scattered clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
307,Beloha,MG,68.68,clear sky,-25.17,45.05,
309,Antalaha,MG,72.18,light rain,-14.9,50.28,Hotel Vitasoa
310,Gemena,CD,67.96,overcast clouds,3.25,19.77,Hôtel Goshen
311,Badvel,IN,76.57,overcast clouds,14.75,79.05,R&B Bungalow
312,Antofagasta,CL,62.6,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
313,Tura,IN,71.37,clear sky,25.52,90.22,Hotel RIKMAN Continental
314,Tartagal,AR,62.85,overcast clouds,-22.52,-63.8,Almuñecar Hotel
315,Rosetta,EG,77.0,few clouds,31.4,30.42,Green Valley
316,Namalenga,TZ,72.48,scattered clouds,-10.95,39.1,
317,Vanimo,PG,77.49,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
319,La Palma,US,81.0,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
321,Waipawa,NZ,61.0,overcast clouds,-41.41,175.52,Tora Coastal Walk
322,Salinopolis,BR,82.69,broken clouds,-0.61,-47.36,Hotel Salinópolis
323,Tarija,BO,62.6,broken clouds,-21.54,-64.73,Hostal Granny
324,Passo De Camaragibe,BR,84.2,clear sky,-9.24,-35.49,Pousada Divino Milagre
328,Lorengau,PG,81.39,light rain,-2.02,147.27,Lorengau Harbourside Hotel
329,Alvorada,BR,88.45,broken clouds,-12.48,-49.12,Cristal Plaza Hotel
330,Viedma,AR,73.0,clear sky,-40.81,-63.0,Hotel Cristal
335,Mersing,MY,77.79,overcast clouds,2.43,103.84,Timotel Hotel
336,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
337,Fare,PF,80.55,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
338,Marawi,PH,73.99,overcast clouds,8.0,124.29,Derogongan Residence
339,Aswan,EG,81.46,clear sky,24.09,32.91,Nuba Nile
340,Moquegua,PE,76.19,clear sky,-17.2,-70.94,Residencial Moquegua
341,Salinas,US,71.6,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
342,Atar,MR,86.79,clear sky,20.52,-13.05,Oumou Elghoura
343,Merauke,ID,78.6,few clouds,-8.47,140.33,
345,Ploemeur,FR,59.0,overcast clouds,47.73,-3.43,Best Western Plus Hotel Les Rives Du Ter
347,Toccoa,US,82.4,clear sky,34.58,-83.33,Quality Inn
349,Iberia,US,64.4,clear sky,29.95,-91.75,back to back rv park
350,Yenagoa,NG,76.44,broken clouds,4.92,6.26,Amba Hotels Limited
351,Butterworth,MY,78.8,light rain,5.4,100.36,Cititel Penang
352,Adeje,ES,71.6,scattered clouds,28.12,-16.73,Gran Tacande Wellness & Relax Costa Adeje
354,Pereira Barreto,BR,78.4,overcast clouds,-20.64,-51.11,Hotel Pousada Pantal
355,Saldanha,ZA,51.8,clear sky,-33.01,17.94,Blue Bay Lodge
356,Sylacauga,US,77.0,scattered clouds,33.17,-86.25,Holiday Inn Express & Suites Sylacauga
357,Hualmay,PE,68.38,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
358,Havelock,US,82.0,broken clouds,34.88,-76.9,Sherwood Motel
359,Darab,IR,58.01,clear sky,28.75,54.54,Naghshe shapoor Hotel
360,Ati,TD,90.36,scattered clouds,13.22,18.34,
361,Jalu,LY,66.94,clear sky,29.03,21.55,Jalu Hotel
362,Gizo,SB,81.93,light rain,-8.1,156.84,Imagination Island
363,Formosa,AR,77.0,clear sky,-26.18,-58.18,Asterión Hotel
364,Tecpan,GT,73.99,broken clouds,14.76,-90.99,San Ricardo Restaurante y Hotel
365,Ocos,GT,86.0,broken clouds,14.51,-92.19,La Bajadita
366,Grand Gaube,MU,68.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
368,Stornoway,GB,54.0,moderate rain,58.21,-6.39,Caladh Inn
371,Marzuq,YE,66.18,clear sky,14.4,46.47,
372,Bontang,ID,77.85,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
373,Arlit,NE,84.24,clear sky,18.74,7.39,Hôtel Telwa Bungalow
374,Takoradi,GH,78.58,clear sky,4.88,-1.76,Raybow International Hotel
375,Puerto Del Rosario,ES,71.6,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
376,Arrecife,ES,71.6,few clouds,28.96,-13.55,Hotel Lancelot
378,Vila,PT,53.01,clear sky,42.03,-8.16,Hotel Castrum Villae
379,Kununurra,AU,78.8,scattered clouds,-15.77,128.73,Hotel Kununurra
380,Benjamin Constant,BR,87.8,thunderstorm,-4.38,-70.03,CASA AVALIADA
381,Karratha,AU,70.23,broken clouds,-20.74,116.85,ibis Styles Karratha
382,Lastoursville,GA,71.85,light rain,-0.81,12.73,Auberge Bon Coin 02
385,Shadegan,IR,69.8,clear sky,30.65,48.66,ديوانية شيخ عبود الذياب آل سالم
386,Mana,GF,84.78,overcast clouds,5.66,-53.78,LE SAMANA
387,Ambon,ID,81.0,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
390,Takhatgarh,IN,71.67,clear sky,25.33,73.0,Jagdamba bhawan
391,Bacolod,PH,78.73,overcast clouds,10.67,122.95,Planta Hotel & Residences
393,Santa Catalina,PH,78.96,overcast clouds,9.33,122.86,Don Pacondo
394,Port Keats,AU,81.41,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
396,Rampura,IN,63.82,clear sky,30.25,75.23,Akash
399,Marsh Harbour,BS,82.9,scattered clouds,26.54,-77.06,Abaco Beach Resort
400,Odesa,UA,51.8,scattered clouds,46.48,30.73,Londonskaya Hotel
401,Saint-Georges,GD,84.2,few clouds,12.06,-61.75,Siesta Hotel
402,Sumter,US,88.0,broken clouds,28.71,-82.08,Paradise Oaks RV Resort
405,Makakilo City,US,78.8,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
406,Poum,NC,76.21,broken clouds,-20.23,164.02,Gîte kajeon
408,Mekhe,SN,84.2,overcast clouds,15.11,-16.62,Hôtel Keur Mame Astou
410,San Cristobal,VE,75.85,moderate rain,7.77,-72.22,Pirineos
412,Darlawn,IN,66.07,overcast clouds,24.02,92.9,BNRGSK BUILDING
413,Port Pirie,AU,55.4,overcast clouds,-33.18,138.02,John Pirie Motor Inn
414,Maiduguri,NG,83.01,clear sky,11.85,13.16,College of Nursing & Midwifery Female's Hostel
415,Nalut,LY,60.01,clear sky,30.33,10.85,
417,Yashkul,RU,54.57,overcast clouds,46.17,45.34,
418,Bulawayo,ZW,74.89,clear sky,-20.15,28.58,4 On Housman Backpackers
419,Bukama,CD,68.83,moderate rain,-9.2,25.85,
420,Remontnoye,RU,53.01,light rain,46.56,43.65,Remontnoye
421,Bull Savanna,JM,81.36,clear sky,17.89,-77.59,Big Red's
422,Eyl,SO,80.2,scattered clouds,7.98,49.82,Amiin Hotel
423,Auki,SB,76.8,moderate rain,-8.77,160.7,Auki Motel
424,Lipari,IT,63.0,broken clouds,38.47,14.95,Hotel Villa Augustus
426,Hobyo,SO,79.93,overcast clouds,5.35,48.53,Osmani Hotel
428,Kismayo,SO,79.63,overcast clouds,-0.36,42.55,Agan-Hotel
430,Tual,ID,82.81,overcast clouds,-5.67,132.75,Grand Vilia Hotel
432,Boa Vista,BR,86.0,shower rain,2.82,-60.67,Aipana Plaza Hotel
433,Mitsamiouli,KM,78.93,clear sky,-11.38,43.28,Foyer ADM
434,Padang,ID,77.92,broken clouds,-0.95,100.35,Mercure Padang
435,Alta Floresta,BR,91.4,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
436,Nargana,PA,84.13,overcast clouds,9.44,-78.59,Dubbir
440,Coihaique,CL,59.0,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
441,San Joaquin,US,71.01,clear sky,37.93,-121.3,University Plaza Waterfront Hotel
443,Nakatsu,JP,60.8,broken clouds,33.6,131.19,Toyoko Inn Oita Nakatsu Ekimae
444,Mount Isa,AU,53.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
445,Gunjur,GM,84.2,clear sky,13.2,-16.73,Kuba Lodge
446,Mantua,IT,52.0,overcast clouds,45.17,10.78,Hotel la Favorita
449,Conakry,GN,82.49,clear sky,9.54,-13.68,Riviera Royal Hotel
451,Kumta,IN,76.78,overcast clouds,14.42,74.4,Hotel Vaibhav Palace
452,Rio Gallegos,AR,57.2,clear sky,-51.62,-69.22,Hotel Santa Cruz
453,Santa Rosa,PH,78.8,scattered clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
455,Manokwari,ID,79.84,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
457,Jishou,CN,58.55,light rain,28.32,109.72,7Days Inn Jishou Railway Station
458,Acaponeta,MX,92.07,clear sky,22.5,-105.36,Hotel Casa Blanca
463,Walla Walla,US,73.0,clear sky,46.06,-118.34,Holiday Inn Express Walla Walla
464,San Juan,AR,76.59,few clouds,-31.54,-68.54,Hotel Provincial
465,Subottsi,UA,51.3,overcast clouds,48.66,32.52,Орлиное гнездо
467,Sabang,ID,82.38,overcast clouds,5.89,95.32,Hotel Citra
468,Zaozerne,UA,62.47,light rain,45.16,33.28,"Molodozhnyy Lager' ""Pioner"""
470,Doha,QA,78.8,clear sky,25.29,51.53,Doha Marriott Hotel
471,Cruzeiro Do Sul,BR,66.0,overcast clouds,-29.51,-51.99,Estrela Palace Hotel
