City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Corinto,GR,37.94,22.96,62.01,61,92,1.41,overcast clouds
83,Atuona,PF,-9.8,-139.03,77.99,71,92,18.59,light rain
84,Chihuahua,MX,28.5,-106.0,62.6,25,5,4.7,clear sky
85,Faya,SA,18.39,42.45,64.4,25,0,5.82,clear sky
86,Sisimiut,GL,66.94,-53.67,21.56,94,100,4.94,light snow
87,Bonavista,CA,48.65,-53.11,37.99,88,95,13.71,overcast clouds
88,Port Alfred,ZA,-33.59,26.89,62.64,75,100,20.56,light rain
89,Olot,ES,42.18,2.49,55.0,94,0,1.99,clear sky
90,Bambous Virieux,MU,-20.34,57.76,68.0,72,6,5.01,clear sky
91,Bathsheba,BB,13.22,-59.52,77.0,94,40,26.4,heavy intensity rain
92,Evensk,RU,61.95,159.23,19.85,84,21,3.87,few clouds
93,Ukwa,IN,21.97,80.47,64.0,66,0,3.22,clear sky
94,Machilipatnam,IN,16.17,81.13,77.56,69,99,3.56,overcast clouds
95,Ulladulla,AU,-35.35,150.47,55.0,100,74,10.29,broken clouds
96,Ahipara,NZ,-35.17,173.17,63.64,77,100,9.53,overcast clouds
97,Saint-Junien,FR,45.88,0.9,54.0,93,40,4.7,scattered clouds
98,Torbay,CA,47.67,-52.73,41.0,77,96,4.0,light rain
99,Puerto Ayora,EC,-0.74,-90.35,78.8,69,40,10.36,scattered clouds
100,Kidal,ML,18.44,1.41,83.05,14,0,12.33,clear sky
101,Churapcha,RU,62.0,132.43,-8.97,91,34,2.28,scattered clouds
102,Mananjary,MG,-21.22,48.33,71.46,87,75,11.7,light rain
103,Port Lincoln,AU,-34.73,135.87,55.83,80,56,22.86,broken clouds
104,Maridi,SS,4.92,29.47,69.46,94,100,1.03,light rain
105,Ribeira Grande,PT,38.52,-28.7,68.0,94,75,14.99,broken clouds
106,Makinsk,KZ,52.63,70.42,30.04,93,47,13.65,scattered clouds
107,Aasiaat,GL,68.71,-52.87,17.24,95,96,5.95,overcast clouds
